eval_id,timestamp,context_id,json_valid,has_decision,should_speak_type_valid,reasoning_present,reasoning_len_ge_2_sentences,urgency_in_allowed_set,confidence_in_range,tool_calls_array_present,tool_calls_types_valid,response_text_present_when_should_speak_true,response_text_null_when_should_speak_false,tone_in_allowed_set_or_null,follow_up_needed_boolean,memory_update_present,memory_key_points_nonempty,memory_action_items_array_present,overall_comments
direct-question-tech,2025-10-04T20:58:00Z,ctx-docker-deploy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Direct technical question - should use web_search tool and provide helpful response"
active-conversation-no-interrupt,2025-10-04T20:58:05Z,ctx-scheduling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,N/A,TRUE,TRUE,TRUE,FALSE,"Active back-and-forth conversation - should not interrupt, good restraint test"
factual-error-correction,2025-10-04T20:58:10Z,ctx-fact-error,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Someone states incorrect fact - should speak up to correct with web search"
action-item-tracking,2025-10-04T20:58:15Z,ctx-task-creation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Clear action item mentioned - should offer to create Jira ticket"
internal-knowledge-query,2025-10-04T20:58:20Z,ctx-company-docs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Question about company processes - should use datastore_search"
urgent-issue,2025-10-04T20:58:25Z,ctx-production-down,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Production system down - high urgency, should speak immediately"
small-talk-ignore,2025-10-04T20:58:30Z,ctx-casual-chat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,N/A,TRUE,TRUE,TRUE,FALSE,"Casual conversation about weekend - should not interrupt"
multiple-tools-needed,2025-10-04T20:58:35Z,ctx-complex-research,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Complex question requiring both web search and datastore lookup"
project-status-check,2025-10-04T20:58:40Z,ctx-sprint-review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Questions about project status - should use Jira integration"
ambiguous-context,2025-10-04T20:58:45Z,ctx-unclear-intent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Unclear what speakers want - should ask clarifying question"
rapid-fire-discussion,2025-10-04T20:58:50Z,ctx-brainstorm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,N/A,TRUE,TRUE,TRUE,FALSE,"Fast-paced brainstorming - should wait for natural pause"
knowledge-gap-admission,2025-10-04T20:58:55Z,ctx-unknown-domain,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,FALSE,"Question outside expertise - should admit limitation gracefully"
follow-up-question,2025-10-04T20:59:00Z,ctx-clarification,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Previous response led to follow-up - should continue conversation"
decision-point-input,2025-10-04T20:59:05Z,ctx-architecture-choice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Team at decision point - should provide informed perspective"
tool-failure-graceful,2025-10-04T20:59:10Z,ctx-api-down,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Tool call fails - should handle gracefully and offer alternatives"
meeting-notes-summary,2025-10-04T20:59:15Z,ctx-meeting-end,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"End of meeting - should offer to summarize key points and actions"
security-concern,2025-10-04T20:59:20Z,ctx-security-issue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Security vulnerability mentioned - high urgency response needed"
resource-recommendation,2025-10-04T20:59:25Z,ctx-learning-request,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Someone asks for learning resources - should search and recommend"
conflict-resolution,2025-10-04T20:59:30Z,ctx-disagreement,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Team disagreement on approach - should provide neutral facts"
time-sensitive-deadline,2025-10-04T20:59:35Z,ctx-deadline-stress,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Deadline approaching - should help prioritize and create tasks"
onboarding-help,2025-10-04T20:59:40Z,ctx-new-employee,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"New team member has questions - should be extra helpful"
code-review-discussion,2025-10-04T20:59:45Z,ctx-pr-review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Code review feedback discussion - should provide technical insights"
customer-escalation,2025-10-04T20:59:50Z,ctx-customer-issue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Customer escalation mentioned - should help find relevant documentation"
performance-optimization,2025-10-04T20:59:55Z,ctx-perf-issues,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Performance problems discussed - should suggest profiling approaches"
compliance-question,2025-10-04T21:00:00Z,ctx-compliance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Compliance/regulatory question - should search for current requirements"
infrastructure-scaling,2025-10-04T21:00:05Z,ctx-scaling-needs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Discussion about scaling infrastructure - should provide architecture advice"
vendor-evaluation,2025-10-04T21:00:10Z,ctx-tool-selection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Evaluating vendor tools - should research current market options"
incident-postmortem,2025-10-04T21:00:15Z,ctx-postmortem,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Post-incident analysis - should help document lessons learned"
training-coordination,2025-10-04T21:00:20Z,ctx-team-training,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Planning team training - should help coordinate and track progress"
budget-planning,2025-10-04T21:00:25Z,ctx-budget-discussion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"Budget allocation discussion - should provide cost information"
api-design-review,2025-10-04T21:00:30Z,ctx-api-design,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,"API design discussion - should reference best practices and standards"
